,Name,Prices,Page,Format,Language,Pub Date,Publisher,Author,Dimensions,Categories
1595,JFK and the Unspeakable: Why He Died and Why It Matters,20.46,560,Paperback,English,"October 19, 2010",Touchstone Books,James W. Douglass,6.02 X 8.86 X 1.31 inches | 1.27 pounds,Presidents & Heads of State   United States - 20th Century   Conspiracy Theories   Murder - General   
1596,"Bad Mexicans: Race, Empire, and Revolution in the Borderlands",27.90,384,Hardcover,English,"May 10, 2022",W. W. Norton & Company,Kelly Lytle Hernández,6.45 X 9.29 X 1.23 inches | 1.4 pounds,Latin America - Mexico   Revolutionary   Emigration & Immigration   United States - 20th Century   Colonialism & Post-Colonialism   Ethnic Studies - Hispanic American Studies   
1597,Caliban's War,17.66,624,Paperback,English,"June 26, 2012",Orbit,James S. A. Corey,5.9 X 9.1 X 1.8 inches | 1.65 pounds,Science Fiction - Action & Adventure   Action & Adventure   Science Fiction - Space Opera   
1598,The Emerald Mile: The Epic Story of the Fastest Ride in History Through the Heart of the Grand Canyon,18.59,448,Paperback,English,"July 01, 2014",Scribner Book Company,Kevin Fedarko,5.52 X 8.51 X 1.14 inches | 0.86 pounds,"United States - State & Local - Southwest (AZ, NM, OK, TX)   Boating   History   United States - 20th Century   Canoeing   Outdoor Skills   "
1599,Chapterhouse: Dune,9.29,624,Mass Market Paperbound,English,"June 04, 2019",Ace Books,Frank Herbert,4.4 X 1.3 X 7.5 inches | 0.7 pounds,Classics   Fantasy - Epic   Science Fiction - Space Opera   
1600,Dyscalculia: A Love Story of Epic Miscalculation,25.11,240,Hardcover,English,"February 14, 2023",One World,Camonghne Felix,5.3 X 7.6 X 0.9 inches | 0.61 pounds,Personal Memoirs   Love & Romance   Women's Studies   
1601,A Walk in the Woods: Rediscovering America on the Appalachian Trail,15.81,304,Paperback,English,"May 04, 1999",Crown Publishing Group (NY),Bill Bryson,5.3 X 8.0 X 0.8 inches | 0.55 pounds,"Essays & Travelogues   United States - South - East South Central (AL, KY, MS, TN)   Special Interest - Hikes & Walks   Form - Essays   Environmental Conservation & Protection - General   Essays   General   United States - Northeast - General   "
1602,Written in the Stars,14.87,384,Paperback,English,"November 10, 2020",Avon Books,Alexandria Bellefleur,5.3 X 8.0 X 1.0 inches | 0.72 pounds,Romance - Romantic Comedy   Romance - Holiday   Romance - LGBT - General   LGBT - Lesbian   Women   
1603,Lucky Red,25.11,304,Hardcover,English,"June 20, 2023",Dial Press,Claudia Cravens,6.8 X 9.5 X 1.1 inches | 1.1 pounds,Westerns - General   Coming of Age   Women   
1604,The Midcoast,25.11,336,Hardcover,English,"June 07, 2022",Hogarth Press,Adam White,5.8 X 8.2 X 1.3 inches | 1.0 pounds,Literary   Crime   Small Town & Rural   
1605,Fruiting Bodies: Stories,23.25,256,Hardcover,English,"June 07, 2022",W. W. Norton & Company,Kathryn Harlan,5.79 X 8.49 X 0.91 inches | 0.88 pounds,Literary   Short Stories (single author)   LGBT - General   
1606,The Order of Time,15.81,256,Paperback,English,"December 10, 2019",Riverhead Books,Carlo Rovelli,4.8 X 7.2 X 0.7 inches | 0.45 pounds,Physics - Relativity   Time   Cosmology   
1607,Trial of the Sun Queen,18.59,406,Paperback,English,"December 06, 2022",Thirteen Crowns Press,Nisha J. Tuli,5.5 X 8.5 X 0.9 inches | 1.13 pounds,Fantasy - Epic   Fantasy - Romantic   Romance - Fantasy   
1608,The Things We Make: The Unknown History of Invention from Cathedrals to Soda Cans,25.10,272,Hardcover,English,"March 21, 2023",Sourcebooks,Bill Hammack,5.59 X 8.35 X 1.02 inches | 1.01 pounds,Philosophy & Social Aspects   Civil - General   Technology Studies   World - General   Life Sciences - Human Anatomy & Physiology   Engineering (General)   
1609,Golden Son,,464,Paperback,English,"July 07, 2015",Del Rey Books,Pierce Brown,5.4 X 8.3 X 1.1 inches | 0.8 pounds,Dystopian   Science Fiction - Action & Adventure   Action & Adventure   Science Fiction - Hard Science Fiction   
1610,A Desolation Called Peace,17.66,496,Paperback,English,"February 08, 2022",Tor Books,Arkady Martine,5.3 X 8.2 X 1.4 inches | 0.9 pounds,Science Fiction - Space Opera   Science Fiction - Action & Adventure   
1611,Half a Soul,16.73,304,Paperback,English,"June 28, 2022",Orbit,Olivia Atwater,5.4 X 8.2 X 0.9 inches | 0.6 pounds,Romance - Clean & Wholesome   Fantasy - Historical   Fantasy - Urban   Fantasy - Romantic   
1612,The Water Dancer,16.74,432,Paperback,English,"November 17, 2020",One World,Ta-Nehisi Coates,5.2 X 8.0 X 0.95 inches | 0.7 pounds,African American - Historical   Fantasy - Historical   Magical Realism   
1613,Recitatif: A Story,14.88,96,Hardcover,English,"February 01, 2022",Knopf Publishing Group,Toni Morrison,5.1 X 7.0 X 0.6 inches | 0.4 pounds,Literary   Coming of Age   African American - General   
1614,Hold Me Tight: Seven Conversations for a Lifetime of Love,26.97,320,Hardcover,English,"April 08, 2008","Little, Brown Spark",Sue Johnson,6.38 X 9.29 X 1.06 inches | 1.15 pounds,Marriage & Long Term Relationships   Love & Romance   General   
1615,The Book of Unknown Americans,14.88,304,Paperback,English,"March 03, 2015",Vintage,Cristina Henríquez,5.1 X 7.9 X 0.7 inches | 0.5 pounds,Literary   Hispanic & Latino   Family Life - General   
1616,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past-Life Therapy That Changed Both Their Lives",16.73,224,Paperback,English,"July 15, 1988",Touchstone Books,Brian L Weiss,5.4 X 8.3 X 0.7 inches | 0.45 pounds,Afterlife & Reincarnation   Spiritualism - General   Clinical Psychology   Psychotherapy - General   Hypnotism   General   Metaphysics   
1617,Capitalist Realism: Is There No Alternative? (Revised),13.90,120,Paperback,English,"December 15, 2022",Zero Books,Mark Fisher,5.43 X 8.43 X 0.39 inches | 0.3 pounds,Political   Free Enterprise & Capitalism   Political Ideologies - General   Popular Culture   
1618,The Museum of Ordinary People,17.66,336,Paperback,English,"May 30, 2023",Grand Central Publishing,Mike Gayle,5.4 X 7.7 X 1.4 inches | 0.6 pounds,Women   African American - Women   City Life   
1619,The East Indian,26.04,272,Hardcover,English,"May 02, 2023",Scribner Book Company,Brinda Charry,6.3 X 9.0 X 1.2 inches | 0.9 pounds,Biographical   Asian American   Historical - Colonial America & Revolution   
1620,A Darker Wilderness: Black Nature Writing from Soil to Stars,18.60,312,Paperback,English,"February 14, 2023",Milkweed Editions,Erin Sharkey,5.5 X 8.4 X 1.0 inches | 0.9 pounds,American - African American   Essays   Essays   African American   
1621,The Art of Darkness: The History of Goth,34.36,546,Paperback,English,"March 23, 2023",Manchester University Press,John Robb,8.9 X 5.98 X 1.18 inches | 1.6 pounds,Europe - Great Britain - 20th Century   Genres & Styles - Rock   
1622,Lords and Ladies,9.29,384,Mass Market Paperbound,English,"October 29, 2013",Harper,Terry Pratchett,4.1 X 7.4 X 1.0 inches | 0.5 pounds,Fantasy - Humorous   Fantasy - Action & Adventure   Romance - Action & Adventure   
1623,All the Lovers in the Night,26.04,224,Hardcover,English,"May 03, 2022",Europa Editions,Mieko Kawakami,5.35 X 8.35 X 0.94 inches | 0.7 pounds,Literary   Psychological   Women   City Life   World Literature - Japan   
1624,Binti: The Complete Trilogy,15.81,368,Paperback,English,"July 07, 2020",Daw Books,Nnedi Okorafor,5.9 X 8.9 X 0.9 inches | 0.79 pounds,Science Fiction - Space Opera   Science Fiction - Collections & Anthologies   Science Fiction - Alien Contact   
1625,What I Talk about When I Talk about Running: A Memoir,15.81,192,Paperback,English,"August 11, 2009",Vintage,Haruki Murakami,5.2 X 8.0 X 0.56 inches | 0.43 pounds,Personal Memoirs   Running & Jogging   Literary Figures   Sports   
1626,Undaunted: How Women Changed American Journalism,32.55,592,Hardcover,English,"May 16, 2023",Knopf Publishing Group,Brooke Kroeger,5.98 X 9.29 X 1.65 inches | 1.9 pounds,Women   Women   Journalism   
1627,City of Quartz: Excavating the Future in Los Angeles,20.41,512,Paperback,English,"July 17, 2018",Verso,Mike Davis,5.0 X 7.7 X 1.3 inches | 0.9 pounds,"Public Policy - Economic Policy   Anthropology - Cultural & Social   Sociology - Urban   United States - State & Local - West (AK, CA, CO, HI, ID, MT, NV, UT, WY)   Social History   "
1628,Tattoos on the Heart: The Power of Boundless Compassion,16.73,240,Paperback,English,"February 22, 2011",Free Press,Gregory Boyle,5.5 X 8.3 X 0.7 inches | 0.46 pounds,Christian Living - Spiritual Growth   Motivational & Inspirational   Sociology - General   Personal Memoirs   Christianity - History   Sociology - Urban   
1629,The Man Who Mistook His Wife for a Hat: And Other Clinical Tales,16.74,320,Paperback,English,"September 14, 2021",Vintage,Oliver Sacks,5.1 X 7.9 X 0.8 inches | 0.65 pounds,Clinical Psychology   General   Neurology   Neuropsychology   Medical (Incl. Patients)   Neuroscience   Life Sciences - Biology   Psychopathology - General   Physiological Psychology   
1630,Babylon's Ashes,16.73,576,Paperback,English,"October 24, 2017",Orbit,James S. A. Corey,5.9 X 9.1 X 1.6 inches | 1.3 pounds,Science Fiction - Action & Adventure   Science Fiction - Space Opera   Action & Adventure   Science Fiction - Alien Contact   
